fecha,hora,dias,indice
2020-03-11,09:00,Entre semana,96.4327114153235
2020-03-11,09:00,Fin de semana,58.9572471324296
2020-03-18,09:00,Entre semana,96.0283727092073
2020-03-18,09:00,Fin de semana,53.5592631213069
2020-03-25,09:00,Entre semana,53.7273680724222
2020-03-25,09:00,Fin de semana,20.177267987487
2020-04-01,09:00,Entre semana,21.8508500772797
2020-04-01,09:00,Fin de semana,12.3427181091415
2020-04-08,09:00,Entre semana,19.0522190328991
2020-04-08,09:00,Fin de semana,10.4518595759472
2020-04-15,09:00,Entre semana,11.4070434974608
2020-04-15,09:00,Fin de semana,5.9332638164755
2020-04-22,09:00,Entre semana,13.773735924045
2020-04-22,09:00,Fin de semana,8.60966284323949
2020-04-29,09:00,Entre semana,12.5593398101126
2020-04-29,09:00,Fin de semana,8.49148418491484
2020-05-06,09:00,Entre semana,11.8569220578494
2020-05-06,09:00,Fin de semana,8.44977407021203
2020-05-13,09:00,Entre semana,11.5947228968867
2020-05-13,09:00,Fin de semana,9.09975669099757
2020-05-20,09:00,Entre semana,11.6154228306469
2020-05-20,09:00,Fin de semana,9.16232186305179
2020-05-27,09:00,Entre semana,12.9222786487083
2020-05-27,09:00,Fin de semana,9.47514772332291
2020-06-03,09:00,Entre semana,13.1637778759108
2020-06-03,09:00,Fin de semana,10.5039972193257
2020-06-10,09:00,Entre semana,15.6877897990726
2020-06-10,09:00,Fin de semana,12.1376433785193
2020-06-17,09:00,Entre semana,16.9021859130051
2020-06-17,09:00,Fin de semana,15.0921098366354
2020-06-24,09:00,Entre semana,20.3259549569441
2020-06-24,09:00,Fin de semana,15.2937087243657
2020-07-01,09:00,Entre semana,21.5417310664606
2020-07-01,09:00,Fin de semana,15.0191171359055
2020-07-08,09:00,Entre semana,24.9613601236476
2020-07-08,09:00,Fin de semana,17.2228015293709
2020-07-15,09:00,Entre semana,27.1886729962464
2020-07-15,09:00,Fin de semana,19.1379909628085
2020-07-22,09:00,Entre semana,28.6293883859572
2020-07-22,09:00,Fin de semana,19.3882516510254
2020-07-29,09:00,Entre semana,28.415489070435
2020-07-29,09:00,Fin de semana,20.2502606882169
2020-08-05,09:00,Entre semana,30.3129829984544
2020-08-05,09:00,Fin de semana,23.3646159193604
2020-08-12,09:00,Entre semana,33.394513137558
2020-08-12,09:00,Fin de semana,19.4542926659715
2020-08-19,09:00,Entre semana,34.8807683815412
2020-08-19,09:00,Fin de semana,23.9485575251999
2020-08-26,09:00,Entre semana,36.1931441819386
2020-08-26,09:00,Fin de semana,25.2485227667709
2020-09-02,09:00,Entre semana,37.8201589754913
2020-09-02,09:00,Fin de semana,26.2460896767466
2020-09-09,09:00,Entre semana,38.2010377566792
2020-09-09,09:00,Fin de semana,26.2912756343413
2020-09-16,09:00,Entre semana,41.114208434533
2020-09-16,09:00,Fin de semana,28.1821341675356
2020-09-23,09:00,Entre semana,28.12155001104
2020-09-23,09:00,Fin de semana,24.9739311783107
2020-09-30,09:00,Entre semana,40.9679289026275
2020-09-30,09:00,Fin de semana,27.323600973236
2020-10-07,09:00,Entre semana,44.0080591742106
2020-10-07,09:00,Fin de semana,28.4741049704553
2020-10-14,09:00,Entre semana,43.0365422830647
2020-10-14,09:00,Fin de semana,30.1077511296489
2020-10-21,09:00,Entre semana,45.5412342680503
2020-10-21,09:00,Fin de semana,30.1320820298922
2020-10-28,09:00,Entre semana,48.3067454184147
2020-10-28,09:00,Fin de semana,32.641640597845
2020-11-04,09:00,Entre semana,46.2533119894016
2020-11-04,09:00,Fin de semana,32.81543274244
