fecha,diferencia
2020-03-01,0
2020-03-08,-9
2020-03-15,-50
2020-03-22,-66
2020-03-29,-73
2020-04-05,-82
2020-04-12,-77
2020-04-19,-80
2020-04-26,-82
2020-05-03,-82
2020-05-10,-80
2020-05-17,-86
2020-05-24,-86
2020-05-31,-82
2020-06-07,-77
2020-06-14,-73
2020-06-21,-70
2020-06-28,-64
2020-07-05,-61
2020-07-12,-59
2020-07-19,-61
2020-07-26,-57
2020-08-02,-55
2020-08-09,-50
2020-08-16,-52
2020-08-23,-50
2020-08-30,-50
2020-09-06,-50
2020-09-13,-55
2020-09-20,-50
2020-09-27,-45
2020-10-04,-50
2020-10-11,-43
2020-10-18,-45
2020-10-25,-41
2020-11-01,-52
2020-11-08,-41
2020-11-15,-45
2020-11-22,-41
2020-11-29,-39
2020-12-06,-41
2020-12-13,-36
2020-12-20,-63
2020-12-27,-65
2021-01-03,-63
2021-01-10,-59
2021-01-17,-61
2021-01-24,-57
2021-01-31,-57
2021-02-07,-50
2021-02-14,-45
2021-02-21,-39
2021-02-28,-36
2021-03-07,-36
2021-03-14,-39
2021-03-21,-36
2021-03-28,-55
2021-04-04,-41
2021-04-11,-34
2021-04-18,-39
2021-04-25,-32
2021-05-02,-25
2021-05-09,-30
